㐀	丘
漫	澷
漬	渍
漰	淜
漱	𠘂
漲	涨
漵	溆
漸	渐
漺	𠗾
漻	𠗽
漼	凗
漾	瀁
漿	𤕯 浆
潁	颍
潆	瀠
潇	瀟
潋	瀲
潍	濰
潑	泼
潔	㓗 洁
潙	溈
潚	㴋
潛	潜
潜	潛
潝	㴔
潣	𫞗 浼
潤	润
潦	澇
潨	漎
潬	𬈁 灘
潯	浔
潰	溃
潴	瀦
潷	滗
潹	𠘆
潺	𠘈
潿	涠
澀	澁 瀒 涩 濇
澁	澀 濇
澅	𣶩
澆	浇
澇	潦 涝
澈	徹
澋	𠘉
澌	凘
澒	𭱊
澖	𰛵
澗	涧 磵
澛	瀂
澜	瀾
澟	凜
澠	渑
澢	𭰎
澣	浣
澤	泽 凙
澦	滪
澩	泶
澫	𬇕
澬	𫞚
澮	浍 𠘎
澰	𰛲
澱	淀
澳	襖 𥜌
澶	𠘐
澷	漫
澹	淡
澾	㳠
澿	凚
濁	浊
濃	浓 𠘊
濄	㳡
濆	𣸣
濇	澁 澀 𬈧 瀒
濊	𰛦
濎	𠘋
濑	瀨
濒	瀕
濕	溼 湿
濘	泞
濚	溁
濛	霥 靀
濜	浕
濟	济
濤	涛
濧	㳔
濪	𩇝
濫	滥
濬	浚
濰	潍
濱	濵 滨 瀕
濵	濱 瀕
濶	闊
濺	溅
濼	泺 𠘙
濾	滤
濿	𪵱 砅
瀁	𰜝 漾
瀂	澛
瀃	𣽷
瀄	𰛤
瀅	滢
瀆	渎 凟
瀇	㲿
瀈	𰝍
瀉	泻
瀋	沈 渖
瀏	浏
瀒	澀 濇
瀕	濵 濱 濒
瀘	泸
瀙	𰜜
瀝	沥 𠘟
瀟	潇
瀠	潆
瀢	𬉋
瀤	𠘠
瀦	潴
瀧	泷
瀨	𠘝 濑
瀯	𰝅
瀰	㳽
瀲	潋
瀳	𰜨
瀴	𰜳
瀵	𬉂
瀾	澜
灂	𠘣
灃	沣
灄	滠
灍	𫞝
灏	灝
灑	洒
灒	𪷽
灓	𰛪
灕	漓
灘	潬 滩
灙	𣺼
灝	灏
灟	𭲫
灠	漤 𰜐
灡	㳕 𬉠
灣	湾
灤	滦
灦	𰝤
灧	滟
火	灬
灬	火
灭	滅
灯	燈
灰	灰
灴	烘
灵	靈
灶	竈
災	烖 菑 灾
灾	烖 菑 災
灿	燦
炀	煬
炁	氣
炉	爐
炜	煒
炝	熗
炤	照
炫	衒
炮	礮 炰 砲
炯	烱
炰	炮
炸	煠
点	點
為	爲 为
炼	煉
炽	熾
烁	爍
烂	爛
烃	烴
烊	煬
烏	乌
烕	滅
烖	菑 灾 災
烘	灴
烛	燭
烜	晅
烝	蒸
烟	煙 菸 完
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
烱	炯
烴	烃
焕	煥
焖	燜
焘	燾
焛	𬮟
無	橆 无
焰	燄
煅	鍛
煆	鍜
煇	輝 𪸩
煉	炼
煑	煮
煒	炜
煖	暖 娠
煙	菸 烟 完
煠	炸
煢	茕
煥	焕
照	炤
煩	烦
煬	炀 烊
煮	煑
煱	㶽
煳	㷻
煴	熅
煼	𬊂
熂	𪸕
熅	煴
熇	燺
熈	熙
熉	𤈶
熌	𤇄
熏	燻 𤑕
熒	荧
熓	𤆡
熔	鎔
熕	𬊎
熗	炝
熙	熈
熞	𰞤
熡	𤋏
熨	㷉 尉
熰	𬉼
熱	𤍠 热
熲	颎
熾	炽
燀	𬊤
燁	烨
燄	焰
燈	灯
燌	𰞻
燐	㷠 粦
燒	簫 烧
燖	𬊈
燘	𬊖
燙	烫
燜	焖
營	营
燡	𰞇
燦	灿
燭	烛
燰	𬊺
燴	烩
燵	𬊉
燶	㶶
燺	熇
燻	熏
燼	烬
燽	𬊍
燾	焘
燿	耀 曜
爁	𬊶
爃	𫞡
爄	𤇃
爍	烁
爐	炉
爓	𰟘
爖	𤇭
爛	烂
爣	𬊵
爥	𪹳
爧	𫞠
爪	㕚 爫
爫	爪 㕚
爭	争
爱	愛
爲	為
爷	爺
爺	爷
爾	尒 尔
爿	𤕪
牀	床
牄	蹌
牆	廧 墙 墻
版	板
牋	𰠛 箋
牍	牘
牕	窻 窓 窗
牘	牍
牛	牜
牜	牛
牟	麰
牠	它 他
牦	氂
牴	牴 觝
牵	牽
牺	犧
牼	𰠲
牽	牵
犁	犂
犂	犁
犄	踦
犅	𰠫
犇	奔
犊	犢
犓	𬌝
犖	荦
犞	𪺭
犢	犊
犤	𰠹
犧	牺
犬	犭
犭	犬
犲	豺
犴	豻
状	狀
犷	獷
犸	獁
犹	猶
狀	状
狈	狽
狝	獮
狞	獰
狥	殉 侚
独	獨
狭	狹
狮	獅
狯	獪
狰	猙
狱	獄
狲	猻
狵	尨
狷	獧
狸	貍
狹	狭 陜
狻	䝜
狽	狈
猃	獫
猇	唬 虓
猋	飇 颮
猌	𪺽
猍	𰡎
猎	獵
猕	獼
猗	欹
猙	狰
猡	玀
猧	𰡏
猨	猿 蝯
猪	豬
猫	貓
猬	蝟
献	獻
猶	犹
猻	狲
猿	猨 蝯
獁	犸
獃	呆
獄	狱
獅	狮
獊	𪺷
獎	奬 奨 奖
獐	麞
獑	𰡔
獖	𰡞
獟	𬌮
獠	䝤
獢	𰡊
獧	狷
獨	独
獩	𤞃
獪	狯
獫	玁 猃
獭	獺
獮	狝
獰	狞
獱	㺍
獲	获
獵	猎 𤢪
獷	犷
獸	兽
獹	𰡄
獺	獭
獻	献
獼	猕
獾	貛
玀	猡
玁	獫 𤞤
玂	𰡩
玄	伭
玅	妙
玆	茲 兹
玑	璣
玖	九
玙	璵
玚	瑒
玛	瑪
玟	玫
玫	玟
玮	瑋
环	環
现	現
玱	瑲
玳	瑇
玺	璽
珉	䃉 砇
珍	珎
珎	珍
珐	琺
珑	瓏
珪	圭
珰	璫
珲	琿
珷	碔
珼	𫞥
現	现
琄	鞙
琅	瑯
琉	瑠
琎	璡
琏	璉
琐	瑣
琖	𬍙
琺	珐
琼	瓊
琿	珲
瑇	玳
瑋	玮
瑒	玚
瑙	𰡻 碯
瑠	琉
瑣	琐
瑤	瑶
瑩	莹
瑪	玛
瑯	琅
瑲	玱
瑶	瑤
瑷	璦
瑸	璸
瑻	𪻲
瑽	𪻐
璁	𤧚
璃	瓈
璇	璿
璉	琏
璊	𫞩
璎	瓔
璕	𬍤
璗	𬍡
璛	𰢄
璝	𪻺
璡	琎
璢	琉
璣	玑
璦	瑷
璫	珰
璯	㻅
環	环
璵	玙
璸	瑸
璹	𰡽
璼	𫞨
璽	壐 玺
璾	𫞦
璿	璇
瓄	𪻨
瓅	𬍛
瓈	璃
瓊	琼
瓏	珑
瓐	𰡵
瓒	瓚
瓓	𬎑
瓔	璎
瓕	𤦀
瓚	瓒
瓛	𤩽
瓟	匏
瓮	甕 罋
瓯	甌
瓶	缾
瓷	磁
甊	𰢦
甌	瓯
甎	磚
甒	𰢢
甕	罋 瓮
甖	𰢤 罃 罌
甞	嘗
產	产
甤	蕤
甦	穌
甩	摔
甬	埇
甯	寗
电	電
町	圢
画	畫
甽	畎
甾	菑
甿	氓
畄	畱 留
畅	暢
畆	畝
畊	耕
畎	甽
留	畄 畱
畝	亩 畆
畢	毕
略	畧
畧	略
畫	画 畵
異	异
畱	畄 留
畴	疇
畵	畫
當	当
畺	疆 將
畽	疃
疃	畽
疆	畺 將
疇	畴
疊	叠 曡
疋	匹
疍	蛋
疎	疏
疏	疎
疖	癤
疗	療
疟	瘧
疠	癘
疡	瘍
疣	肬
疬	癧
疭	瘲
疮	瘡
疯	瘋
疱	皰
疴	痾
疸	癉
疹	胗
症	癥
痈	癰
痉	痙
痐	蚘
痒	癢
痖	瘂
痙	痉
痨	癆
痪	瘓
痫	癇
痮	脹 𪽪
痲	痳
痳	痲
痴	癡
痹	痺
痺	痹
痼	㽽
痾	疴
瘂	啞 痖
瘅	癉
瘆	瘮
瘉	愈 癒
瘋	疯
瘍	疡
瘑	𬏮
瘒	𬏫
瘓	痪
瘗	瘞
瘘	瘺
瘞	瘗
瘡	疮
瘧	弄 疟
瘨	癲
瘪	癟
瘫	癱
瘮	瘆
瘱	𪽷
瘲	疭
瘶	嗽
瘺	瘘 瘻
瘻	瘺
瘾	癮
瘿	癭
療	疗
癆	痨
癇	痫
癈	𬏦
癉	疸 瘅
癎	𰣯
癐	𤶊
癒	瘉
癘	疠
癞	癩
癟	瘪
癠	𰣬
癡	痴
癢	痒
癣	癬
癤	疖
癥	症
癧	疬
癩	癞
癪	𰣼
癫	癲
癬	癣
癭	瘿
癮	瘾
癯	臞
癰	痈
癱	瘫
癲	癫 瘨
癴	𰣽
登	豋
發	发
百	佰
皁	皂
皂	皁
皃	貌 貎
皋	睾 臯
皌	𤽜
皎	㿟 皦
皑	皚
皓	皝 顥
皚	皑
皜	暠
皝	皓 顥
皞	皥 皡
皟	𤾀
皡	皥 皞
皥	皞 皡
皦	皎 㿟
皪	𰤕
皰	疱
皱	皺
皲	皸
皷	鼓 鼔
皸	皲
皺	縐 皱
皾	𰤬
盃	杯
盇	盍
益	益
盌	碗 椀
盍	盇
盏	盞
盐	鹽
监	監
盖	葢 蓋
盗	盜
盘	盤
盙	簠
盜	盗
盞	盏
盡	尽
監	监
盤	盘
盧	卢
盨	𪾔
盩	盭
盪	逿 荡 蘯 𨌩 蕩
盭	盩
眇	緲
眈	躭
眍	瞘
眎	視
眛	眜
眜	眛
眞	真
真	眞
眠	緡
眥	眦
眦	眥
眬	矓
眾	𠂝 衆 众
着	著
睁	睜
睍	𪾢
睏	困
睐	睞
睑	瞼
睔	𬑆
睜	睁
睞	睐
睪	𠬤
睫	䀹
睴	𬑕
睹	覩
睾	皋
睿	叡
瞅	矁 𬑡
瞆	瞶
瞍	𥈟
瞒	瞞
瞓	𰥛
瞘	眍
瞛	𰥒
瞜	䁖
瞞	瞒
瞠	瞪
瞡	𰥪
瞤	𥆧
瞥	苤
瞩	矚
瞪	瞠
瞬	䀢
瞯	𰥨 瞷
瞰	矙
瞱	𬑓
瞶	瞆
瞷	𬑗 瞯
瞹	曖
瞼	睑
瞿	䀠
矁	瞅 𬑡
矇	朦
矉	𪾸
矊	𬑧
矋	矖
矑	𪾦
矓	眬 朧
矕	𰥠
矖	矋 𰥢
矘	𰥹
矙	瞰
矚	瞩
矧	訠
矫	矯
矮	躷
矯	矫
矰	蹭
矲	𰦜
石	𥐘
矶	磯
矾	礬
矿	礦
砀	碭
码	碼
砅	濿
砇	珉
砌	纖
砒	磇
研	硏 揅
砖	磚
砗	硨
砚	硯
砜	碸
砞	𥑘
砠	岨
砣	鉈 𥓿
砥	厎
砦	寨
砧	碪
砲	礮 炮
砺	礪
砻	礱
砾	礫
础	礎
硁	硜
硏	研
硕	碩
硖	硤
硗	磽
硙	磑
硚	礄
硜	硁 䃘 踁
硤	唊 硖
硨	砗
硬	應
硭	𥐞
确	確
硯	砚
硵	磠
硷	礆 鹼
碁	棊 棋
碍	礙 㝵
碔	珷
碗	椀 盌
碙	𥐻
碛	磧
碜	磣
碢	𰦿
碩	硕
碪	砧
碭	砀
碯	瑙
碰	掽
碱	鹻 鹼
碸	砜
確	确
碼	码
碽	䂵
磁	瓷
磇	砒
磊	磥
磌	𧰊
磑	硙
磒	𬒍 隕
磚	砖 甎
磛	嶃
磠	硵
磡	墈
磣	碜
磥	磊
磧	碛
磪	崔
磯	矶
磱	𮀤
磴	嶝
磵	澗 𰧃
磽	墝 硗
磾	䃅
礄	硚
礆	硷
礋	𰦰
礎	础
礏	𬒆
礐	𬒈
礒	𥐟
礙	碍 㝵
礚	𥕤
礛	𰧔
礟	礮
礥	𰧇
礦	矿 鑛
礩	𰧉
礪	砺
礫	砾
礬	矾
礮	砲 𪿫 礟 炮
礰	𰦦
礱	𤮨 砻
礲	𰦭
礶	罐
礹	𰦾
示	礻
礻	示
礼	礼 禮
礿	禴
祃	禡
祇	只
祎	禕
祐	佑
祕	秘
祙	𥘯
祢	您 禰 妳 你 袮
祯	禎
祷	禱
祸	禍
祿	禄
禀	稟
禂	禱
禄	祿
禅	禪
禍	祸
禎	祯
禓	𰧰
禕	祎
禜	𰱈
禡	祃
禦	御
禪	禅
禬	𰧻
禮	礼 礼
禯	𰧾
禰	祢
禱	禂 祷
禴	礿
禵	𰨖
离	離
禿	秃
秃	禿
秄	耔
秆	稈
秇	埶 蓺 藝
秈	籼
秉	拼
秋	龝 䆋 秌
秌	秋
种	種
秏	耗
秐	耘
秔	稉 粳
秕	粃
秘	祕
秣	𥞊
秤	稱
积	積
称	稱
秸	稭
移	迻
秽	穢
秾	穠
稅	税
稆	穭
稈	秆
稉	粳 秔
稊	䄺
税	稅
稏	䅉
稘	朞
稚	稺 䕌 穉
稜	棱 楞
稟	禀
稣	穌
稬	糯
稭	秸
種	种
稱	称 秤 穪 偁
稳	穩
稺	稚
稾	稿
稿	稾 槀
穀	糓 谷
穅	糠
穇	䅟
穉	稚
穌	稣 甦
積	积
穎	颖 頴 署
穑	穡
穖	𬓠
穠	秾
穡	穑
穢	秽
穤	糯
穧	𰨦
穨	𬓼
穩	㒚 稳 文
穪	稱 偁
穫	檴 获
穬	𰨜
穭	稆
穷	窮
穽	阱
窃	竊
窌	窖
窍	竅
窎	窵
窑	窯
窓	窻 䆫 牕 窗
窕	阿
窖	窌
窗	窻 䆫 窓 牕
窜	竄
窝	窩
窥	窺
窦	竇
窩	窝
窪	洼
窭	窶
窮	穷 竆
窯	窰 窑
窰	窯
窱	𰩏
窴	塡
窵	窎
窶	寠 窭
窺	窥
窻	窓 牕 窗
竀	𰩓
竄	窜
竅	窍
竆	窮
竇	窦
竈	灶
竉	𥥅 𰩅 䆔
竊	窃
竒	奇
竖	豎
竚	佇
竜	龍
竝	並 幷 并
竞	競
竢	俟
竪	豎
竱	𫁟
競	誩 竞
竻	𥵚 簕
竿	𣔼
笃	篤
笋	筍
笑	咲
笓	篦
笔	筆
笕	筧
笛	篴
笨	㤒
笺	箋
笼	籠
笾	籩
筆	笔
筍	笋
筏	栰
筑	築
答	荅
筚	篳
筛	篩
筜	簹
筝	箏
筦	管
筧	笕
筭	算
筯	箸
筱	篠
筴	䇲
筹	籌
筼	篔
签	簽
简	簡
箇	個 个
箋	笺 牋
箍	箛
箎	篪
箏	筝
箒	帚
箓	籙
箔	泡
箖	籃
算	筭
箛	箍
箠	捶
管	筦
箦	簀
箧	篋
箨	籜
箩	籮
箪	簞
箫	簫
箴	針 鍼
箸	筯
箹	𰩺
箾	簫
節	节 卩
範	范
築	筑
篋	箧 匧
篑	簣
篓	簍
篔	筼
篘	𥬠
篠	筱
篡	簒
篢	槓 𬕂
篤	笃
篦	笓
篩	簛 筛 簁
篪	箎
篮	籃
篯	籛
篱	籬
篳	筚
篴	笛
篵	𥬈
篸	𥮾
篺	棑
篿	𰩮
簀	箦
簁	簛 篩
簂	𫂆
簌	雝
簍	篓
簒	篡
簕	竻
簖	籪
簛	篩 簁
簜	𰩹
簞	箪
簠	盙
簡	简 耕
簢	𫂃
簣	籄 篑 蕢
簥	𰩸
簨	栒
簫	箾 燒 箫
簵	𰪏
簷	檐
簹	筜
簻	檛 𰩻
簽	签
簾	帘 𢅏 𢅖
籁	籟
籃	箖 篮
籄	簣 蕢
籋	𥬞
籌	筹
籐	藤
籑	䉵 饌
籔	䉤
籙	箓
籚	𰩲
籛	篯
籜	箨
籟	籁
籠	笼
籣	𮆏
籥	龠
籦	𰪊
籩	笾
籪	簖
籫	𬖃
籬	篱
籭	𬕄
籮	箩
籯	𰪣
籲	龥
籴	糴
类	類
籼	秈
粃	秕
粗	麄 觕 麤
粘	黏
粜	糶
粝	糲
粤	粵
粦	㷠 燐
粧	妝
粪	糞
粮	糧
粯	𬖑
粳	稉 秔
粵	粤
粻	𰪭
粽	糉
糁	糝
糇	餱
糉	粽
糓	穀
糕	餻
糖	餹
糙	㿷
糝	糁
糞	粪
糟	醩
糠	穅
糡	糨
糤	饊
糧	粮
糨	糡
糮	𬖮
糯	稬 穤
糰	𰪶 䊜
糲	粝
糴	籴
糶	條 粜
糷	𰫖
糸	糹
糹	糸 纟
糺	糾 𫄙
系	繫 係
糽	𰫼
糾	纠 糺
紀	纪
紂	纣
紃	𬘓
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
紌	𬘕
納	纳
紐	纽
紑	𰫽
紒	𰬀
紓	纾
純	纯
紕	纰
紖	纼
紗	纱
紘	纮
紙	纸 帋
級	𨸚 级
紛	纷
紜	纭
紝	纴
紞	𬘘
紟	衿 𫄛
紡	纺
紥	紮
紧	緊
紨	𰬅
紩	𮉢
紬	綢 䌷
紭	𰬋
紮	扎 紥
累	纍
細	细
紱	绂
紲	緤 绁
紳	绅
紵	纻
紶	𬘛
紸	𰬇
紹	绍 佋
紺	绀
紼	绋
紽	𰬉
紾	𬘝
紿	绐
絀	绌
絁	𫄟
終	终
絃	𰬈 弦
組	组
絅	䌹 褧
絆	绊
絇	𰬆
絍	𫟃
絎	绗
結	揭 结
絑	𰬏
絓	𮉤
絕	绝 絶
絖	纊 𬘢
絘	𰬒
絙	𫄠 絚
絚	𰬌 縆 緪 絙
絛	绦 縚
絝	褲 袴 绔
絞	绞
絟	𬘥
絠	𬘠
絡	络
絢	绚
絣	背 𰬔
絤	𬘟
絥	𫄢 鞴
給	给
絧	𫄡
絨	绒
絪	𬘡 氤
絯	𰬓
絰	绖
統	綂 统
絲	丝
絳	绛
絶	絕
絷	縶
絸	𬘖
絹	绢
絺	𫄨
絻	𰬜
絼	𰬛
絽	𬘤
絾	𰬖
絿	𰬗
綀	𦈌
綁	绑
綂	統
綃	绡
綄	𬘫
綅	𰬞
綆	绠
綇	𦈋
綈	绨
綉	繡
綊	𰬍
綋	𫟄
綌	绤
綍	𰬘
綎	𬘩
綏	绥
綐	䌼
綑	捆
經	经 𦀇
綕	𬘨
綖	𫄧
綜	综
綝	𬘭
綞	缍
綟	𫄫
綠	氯 绿
綡	𫟅
綢	紬 绸
綣	绻
綧	𬘯
綪	𬘬
綫	線
綬	绶
維	维
綯	绹
綰	绾
綱	纲
網	网
綳	繃
綴	缀
綵	䌽
綷	𮉬
綸	纶
綹	绺
綺	绮
綻	绽 䘺
綼	𰬤
綽	绰
綾	绫
綿	绵 緜
緀	𰬢
緁	𰬡
緂	𰬧
緄	绲
緅	𮉪
緆	𰬣
緇	缁
緉	𮉧
緊	紧 𦂳
緋	绯
緌	𮉫
緍	𦈏
緎	𰬟
総	𰬥
緒	绪
緓	绬
緔	绱
緗	缃
緘	缄
緙	缂
線	綫 缐 线
緛	𬘰
緜	綿
緝	缉
緞	缎
緟	𫟆
締	缔
緡	眠 缗
緢	𰬬
緣	缘 縁
緤	𫄬 紲
緥	褓
緦	缌
緧	𬘶
編	编
緩	缓
緪	絚 縆 𬘵
緫	𰬰
緬	缅
緮	𫄭
緯	纬
緰	𦈕
緱	缑
緲	眇 缈
練	练
緵	𰬯
緶	缏
緷	𦈉
緸	𦈑
緹	缇
緺	𮉨
緻	𰬫 致
縁	緣
縆	絚 緪
縈	萦
縉	缙
縊	缢
縋	缒
縌	𰬳
縍	𫄰
縎	𦈔
縐	绉 皺
縑	缣
縒	𬘷
縓	𰬲
縕	韞 缊
縖	𬘻
縗	缞
縚	絛 𬘺
縛	缚
縜	𰬚
縝	缜
縞	缟
縟	溽 缛
縡	𰬴
縣	县
縧	绦
縩	𮉯
縪	𰬎
縫	缝
縬	𦈚
縭	缡 褵
縮	缩
縯	䌥 𬙂
縰	𫄳
縱	纵
縲	缧
縳	䌸
縴	𰬮
縵	缦
縶	絷
縷	缕
縸	𫄲
縹	缥
縺	𦈐
縼	𰬵
總	摠 总 搃
績	绩
縿	𰬪
繀	𮉮
繂	𫄴
繃	绷 綳
繅	缫 繰
繆	缪
繈	繦 𫄶 襁
繎	𬙇
繏	𦈝
繐	𰬸
繑	𰬐
繒	缯
繓	𦈛
織	织
繕	缮
繖	傘 𰬷
繗	𬙈
繘	𰬻
繙	𬙆
繚	缭
繜	𰬺
繞	绕 遶
繟	𦈎
繡	𰬩 绣 綉
繢	繪 缋
繣	𰬠
繦	繈 襁
繨	𫄤
繩	绳 䋲
繪	繢 绘
繫	系
繬	𫄱
繭	茧
繮	韁 缰
繯	缳
繰	繅 缲
繲	挫 𰬽
繳	缴
繵	𬙉
繶	𫄷
繷	𫄣
繸	䍁
繹	绎
繻	𦈡
繼	继
繽	缤
繾	缱
繿	䍀
纀	𰬿
纁	𫄸
纂	臇 𤎱
纃	𬘧
纆	𬙊
纇	颣
纈	缬
纊	絖 纩
纋	𰭀
續	续
纍	累
纎	纖
纏	缠
纑	𮉡
纓	缨
纔	才
纕	𬙋
纖	纎 纤 砌
纗	𫄹
纘	缵
纚	𫄥
纜	缆 䌫
纟	糹
纠	糾
纡	紆
红	紅
纣	紂
纤	纖
纥	紇
约	約
级	級
纨	紈
纩	纊
纪	紀
纫	紉
纬	緯
纭	紜
纮	紘
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纴	紝
纵	縱
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纻	紵
纼	紖
纽	紐
纾	紓
线	線
绀	紺
绁	紲
绂	紱
练	練
组	組
绅	紳
细	細
织	織
终	終
绉	縐
绊	絆
绋	紼
绌	絀
绍	紹
绎	繹
经	經
绐	紿
绑	綁
绒	絨
结	結
绔	絝
绕	繞
绖	絰
绗	絎
绘	繪
给	給
绚	絢
绛	絳
络	絡
绝	絕
绞	絞
统	統
绠	綆
绡	綃
绢	絹
绣	繡
绤	綌
绥	綏
绦	縧 絛
继	繼
绨	綈
绩	績
绪	緒
绫	綾
绬	緓
续	續
绮	綺
绯	緋
绰	綽
绱	鞝 緔
绲	緄
绳	繩
维	維
绵	綿
绶	綬
绷	繃
绸	綢
绹	綯
绺	綹
绻	綣
综	綜
绽	綻
绾	綰
绿	綠
缀	綴
缁	緇
缂	緙
缃	緗
缄	緘
缅	緬
缆	纜
缇	緹
缈	緲
缉	緝
缊	縕
缋	繢
缌	緦
缍	綞
缎	緞
缏	緶
缐	線
缑	緱
缒	縋
缓	緩
缔	締
缕	縷
编	編
缗	緡
缘	緣
缙	縉
缚	縛
缛	縟
缜	縝
缝	縫
缞	縗
缟	縞
缠	纏
缡	縭
缢	縊
缣	縑
缤	繽
缥	縹
缦	縵
缧	縲
缨	纓
缩	縮
缪	繆
缫	繅
缬	纈
缭	繚
缮	繕
缯	繒
缰	繮 韁
缱	繾
缲	繰
缳	繯
缴	繳
缵	纘
缶	缻
缸	堈 罁
缻	缶
缽	鉢 钵
缾	瓶
罁	堈 缸
罂	罌
罃	罌 甖
罅	𨻲
罆	𰭄
罇	樽 墫
罈	壜 坛 墰
罋	甕 瓮
罌	罂 罃 甖
罏	𬙎
罐	礶
网	罔 㓁 網
罔	网
罗	羅
罚	罰
罢	罷
罩	䈇
罪	辠
置	寘
罰	罚
署	穎
罴	羆
罵	骂 傌
罷	罢
罼	𬙝
羁	羈
羂	𰭔
羃	冪
羅	罗
羆	罴
羈	羁 覊
羋	芈
羌	羗
美	羙
羓	豝
羖	𦍩
羗	羌
羙	美
羟	羥
羡	羨
羣	群
群	羣
羥	羟
羨	羡
義	义
羮	羹
羴	羶
羵	𫅗
羶	膻 羴
羹	羮
翄	翅
翅	翄
習	习
翘	翹
翙	翽
翚	翬
翜	𰭢
翥	䬡
翦	剪
翬	翚
翱	翺
翹	翘
翺	翱
翼	折
翽	翙
翿	𰭣
耀	燿 曜
考	攷
耏	耐
耐	耏
耑	專
耒	來
耔	秄
耕	簡 畊
耗	秏
耘	秐
耙	鈀
耢	耮
耤	藉
耧	耬
耨	鎒
耬	耧
耮	耢
耰	櫌
耸	聳
耻	恥
耼	聃
聂	聶
聃	耼
聋	聾
职	職
聍	聹
联	聯
聖	圣
聝	馘
聞	闻
聦	聰
聩	聵
聪	聰
聯	联
聰	聪 聦
聲	声
聳	耸
聵	聩
聶	聂
職	职 軄
聹	聍
聻	魙 𫆏
聽	听
聾	聋
肃	肅
肅	肃
肆	四
肇	肈
肈	肇
肐	𩨘 胳
肕	韌
肠	腸
股	𦙶
肢	胑
肤	膚
肦	朌
肧	胚
肨	胮
肬	疣
肮	骯
肱	厷
育	毓
肳	吻
肴	餚 肴
肾	腎
肿	腫
胀	脹
胁	脅
胄	伷 冑
胆	膽
胊	朐
背	絣
胐	朏
胑	肢
胓	𦚓
胔	骴
胗	疹
胚	肧
胜	勝
胡	衚 鬍
胧	朧
胨	腖
胪	臚
胫	脛
胭	臙
胮	肨
胯	骻
胳	𩨘 肐
胶	膠 㬵
胷	匈 胸
胸	匈 胷
胼	腁
脁	朓
脃	脆
脅	胁 脇 勰
脆	脃
脇	脅
脈	衇 脉
脉	衇 䘑 脈
脍	膾
脏	臟 髒
脐	臍
脑	腦
脓	膿
脔	臠
脚	腳
脛	胫
脣	唇
脥	𣍰
脧	朘
脪	㾙
脫	脱
脱	脫
脶	腡
脸	臉
脹	胀 痮
脼	𣍷
腁	胼
腊	臈 臘
腌	骯
腎	肾
腕	𦙵
腖	胨
腘	膕
腡	脶
腢	髃
腦	脑 匘
腪	𣍯
腫	尰 肿
腭	齶
腮	顋
腳	脚
腸	肠
腻	膩
腼	靦
腽	膃
腾	騰
腿	骽
膃	腽
膆	嗉
膋	膫
膑	臏
膒	𬁵
膕	腘
膚	肤
膞	䏝
膠	胶
膢	𦝼
膧	朣
膩	腻
膫	膋
膮	𰮝
膳	饍
膴	𰮇
膶	𬂀
膷	𰮅
膹	𪱥
膻	羶
膽	胆
膾	鱠 脍
膿	脓
臇	䐪 纂 𤎱
臈	腊 臘
臉	脸
臊	𦞣
臍	脐
臏	膑 髕
臗	𣎑
臘	臈 腊
臙	胭
臚	胪
臜	臢
臞	癯
臟	脏
臠	脔
臡	𰯋
臢	臜
臥	卧
臨	临
臯	皋
致	緻 致
臺	台
舀	外 抌
舆	輿
與	与
興	㒷 兴
舉	㪯 举 擧
舊	旧
舍	捨
舐	舓
舒	摴
舓	舐
舔	餂
舖	鋪
舘	館
舡	船
舣	艤
舦	艜
舰	艦
舱	艙
舵	柁
船	舡
舻	艫
艑	扁
艙	舱
艛	𰰑
艜	𰰏 舦
艢	檣
艤	舣
艥	楫 檝
艦	舰
艪	櫓 樐
艫	舻
艭	𰰋
艰	艱
艱	艰
艳	艷
艶	豓 豔
艷	艳
艸	艹 草
艹	草 艸
艺	藝
节	節
芈	羋
芒	杧
芔	卉
芗	薌
芜	蕪
芟	𠚹
芦	蘆
花	蘤
芸	蕓
芻	刍 𦷝 蒭
苁	蓯
苇	葦
苈	藶
苋	莧
苌	萇
苍	蒼
苎	苧
苏	蘇
苕	䒒
苛	哼
苟	茍
苡	苢
苢	苡
苤	瞥
苧	苎 薴
苹	蘋
苺	莓
苿	茉
范	範
茉	苿
茍	苟
茎	莖
茏	蘢
茑	蔦
茔	塋
茕	煢
茠	薅
茧	繭
茲	玆 兹
荅	答
荆	荊
荇	莕
草	艹 艸
荊	荆
荍	蕎
荐	薦
荔	栛
荙	薘
荚	莢
荛	蕘
荜	蓽
荝	萴
荞	蕎
荟	薈
荠	薺
荡	蕩 盪
荣	榮
荤	葷
荥	滎
荦	犖
荧	熒
荨	蕁
荩	藎
荪	蓀
荫	蔭
荬	蕒
荭	葒
荮	葤
药	藥
荳	豆
莀	農
莅	涖 蒞
莊	庄
莓	苺
莕	荇
莖	茎
莜	蓧
莢	荚
莧	苋
莩	殍
莱	萊
莲	蓮
莳	蒔
莴	萵
莶	薟
获	穫 獲
莸	蕕
莹	瑩
莺	鶯
莼	蓴
莿	刺 朿
菇	菰
菌	滾 蕈
菑	烖 灾 災 甾
菓	果
菔	蔔
菕	𰰨
菢	勽
菫	堇
