㐁	𠀬
𦨤	𦨬𦨺
𦪜	𦩓𦩔
𦪶	𦫆𦫈
𦪽	𦨩𦪿
𦭟	𦰜𦱆
𦭺	𦬥𦱠
𦮻	𦬾𦮌
𦯖	𦵐𦶄
𦰖	𦯏𦳹
𦰯	𤫳𰟽
𦰳	𦭿𦯙
𦳈	𦱔𦶰
𦳩	䒴𧅲
𦵟	𦱰𦳻
𦵫	𦴃𦵫
𦼫	𦸵𧃢
𦾏	𩉾𰅻
𦾵	𦴇𦽓
𧂇	𧀷𧂗
𧂒	䕴𧄝
𧂘	𧃱𧅍
𧃐	𧀿𫊛
𧄿	𧅋𧆃
𧅖	𧄞𪅐
𧅻	𧆖𧆚
𧆻	𧇉𧇡
𧇿	𧇈𧇣
𧈅	𡅗虩
𧈚	㿾𥃓
𧎵	𧏨𫊨
𧏂	𧐃𧑦
𧏺	蚼𮓹
𧏾	䘌𧈟
𧐴	𧎧𧑲
𧑄	𧈸𧑸
𧓋	𧔊𧔹
𧕟	𧉐𧕺
𧕦	𧕛𬠷
𧕲	𧔰𧕣
𧕾	𧓷𧖡
𧖁	𧓂𧕔
𧖨	𥀿𧖧
𧗃	𧗁𧗊
𧗒	𧗇𧗓
𧛒	𧜕𧜬
𧛔	𢃝𧞶
𧜁	𬡕𮂎
𧜅	𧛪𧞔
𧝉	𦂲𦅧
𧝏	𧘫𧙦
𧟨	𧟤𧟥
𧟵	𧟱𧟸
𧠞	𢽕𧠏
𧡺	𥉙𥊏
𧢆	𧡥𧡲
𧢜	𧢎𧢣
𧤏	𧤉𧥄
𧥮	𧥯𧦚
𧦝	𧦻𫍞
𧦧	𧪁𫍟
𧧆	𧨮𧪲
𧧢	詤𧧮
𧧸	𧭀𰵬
𧪘	𧭨𬢚
𧬊	𧪷𧬜
𧭹	𧮝𫍐
𧮓	𧮊𬤱
𧮫	𠴷𠶸
𧲜	𤢣𧲉
𧳟	𧳕𧳥
𧴪	𧴲𭕆
𧷎	𡑧𪠀
𧸐	𧵶𧵸
𧸪	𧸳𬥿
𧹲	㷤𧹷
𧺼	𧺲𨒤
𧻓	𧻓𧼲
𧻕	趞𧼕
𧻳	𧽂𧽴
𧼰	𧼶𨕷
𧽾	𧾬𬩊
𧾚	𨘕𰷱
𧾮	𧼍𰸀
𧾻	𧾹𧿀
𧿺	𧺐𧺙
𨀕	𧻔𧻺
𨃘	𨂓𬦩
𨅍	𨁴𨆀
𨇝	𨇧𨇲
𨇯	𨈂𰸇
𨇻	𢖥𪎓
𨊠	𨊲𰹱
𨊧	𨋝𨋷
𨊸	䢁𮝁
𨋠	𨊶𨋄
𨋢	䢂𫬶
𨋬	𨌱𫏵
𨌣	𨍅𰹎
𨌤	䡕𨍱
𨌰	䡮𬧱
𨍈	𨌘𰺔
𨍩	䡫𨏰
𨎩	輄𬨒
𨎭	𨎱𰚺
𨎶	𨌟𰹒
𨎹	𨎺𨏸
𨏈	𨍪𨏱
𨏒	𨏲𰺢
𨏥	𨏀𨐊
𨒉	䢡𨓫
𨓁	𨕧𨗙
𨔥	𨕛𨕨
𨕐	䢥𨔑
𨖱	𨘙𨘲
𨙀	𨖣𨗟
𨙸	𢻌𨙾
𨙹	𨚈𨚒
𨛶	𨜙𨟢
𨜷	𨜃𨜤
𨝍	䢴𨟦
𨞙	䢹𨞦
𨠒	䣲𨠢
𨠦	𨟿𨠈
𨡎	𨡣𮡉
𨣈	𨡺𨣜
𨣘	𨡵𨢠
𨣧	𨠨𨢞
𨣸	𨤋𬪯
𨨛	𨨑𫓼
𨨰	𨪳𨬔
𨨹	𠞈𬭞
𨪉	鍗𨪾
𨪐	𠁁𨮃
𨭚	𨮬𬭺
𨭞	𬫼𬬘
𨮔	𨮖𮡤
𨯺	𨰨𨯺
𨰠	𨰊𰿊
𨳌	𨳏𰿦
𨳚	𨳜𰿪
𨳝	䦐𨳑
𨴒	䦬𨴱
𨴯	䦠𨷼
𨵤	𨵎𬮮
𨵩	𨵷𨸆
𨷱	𨷴𨷸
𨸱	𨸨𨹌
𨹁	𨸖𨹤
𨹄	𨸳𨹃
𨻌	𨹫𨻾
𨼮	𨻴𨼧
𨽻	𥛓𫕙
𩀋	𩁃𪃉
𩂻	𱁜𱁝
𩃬	𩃛𩄈
𩄡	䨬𩆌
𩄦	𩄐𱁡
𩆂	䨏𩆃
𩆣	𩆙𩆛
𩇟	儬𩇟
𩈉	𩈊𩈌
𩉹	𩋪𩍦
𩊁	𩎝𩎺
𩋠	𩉣𩊘
𩋨	𩋟𩍏
𩌅	䩳𩌱
𩌇	䪚𩌐
𩌮	𩍽𩎇
𩎈	𩍴𩎑
𩎦	𩉤𩎔
𩏷	𥾀𫃗
𩑃	𩑄𬰺
𩒨	𪜵𫶞
𩒺	𬳗𱂩
𩓒	𩒯𩔟
𩓟	𮨌𮨚
𩓥	𩓆𫖵
𩔁	䩈𩉖
𩔶	㦄𩔷
𩕊	𩕸𬱱
𩕖	𡈣𩉃
𩖶	䫼𩖶
𩖹	𩖾𩗑
𩘚	𠑒𬰲
𩘣	𩗃𬲃
𩘻	𩙅𬲆
𩛌	䭄𫗤
𩛎	𩜠𬲴
𩛩	𩚲𩠃
𩞆	𩞐𬲪
𩞑	𩝃𩞔
𩞦	𩠏𬲜
𩞧	𩞃𱄇
𩟐	𩞱𩠅
𩡾	𩣟𩣠
𩢡	𩣀𩧬
𩢹	齨𩣅
𩣡	䮀𱅓
𩣲	𩤎𩤰
𩤺	𩢶𱄤
𩦺	𩥃𬴌
𩧚	𩢳𩣗
𩨷	𩨭𩩆
𩪣	𩪟𩪩
𩪤	𩕟𩪫
𩬢	𩫺𩬷
𩬰	𩬛𩬰
𩭺	𩯅𮫒
𩯨	𩬘𩬯
𩯰	𨲹𩬂
𩰞	䦵𩰐
𩰬	𠸲𬴳
𩱋	𩱁𩱧
𩱱	𢑎𩱢
𩱷	𩱵𱆕
𩱸	粖𥹅
𩳐	𩴔𫙉
𩳢	䄋𥚫
𩳤	𩲒𩲹
𩴑	𩳑𩴊
𩴓	𩴗𩴴
𩴪	𩴆𱆖
𩴯	𩳫𩴘
𩴱	𩴸𱆡
𩵅	𩴹𩵈
𩶅	𩵷𩶪
𩶶	鯍𩷮
𩷕	鿶䱶
𩸋	𩸇𩸖
𩸔	𠑃𭀇
𩸦	𩸧𩾆
𩹑	𩸈𩺉
𩹨	𫙨𮬙
𩹾	𩺈𱇴
𩻛	䲋𱈔
𩼔	𩼖𬶶
𩽅	𩻅𬶸
𩽝	𩺒𫙭
𩾗	鳭𨾆
𩾿	𨾝𪄇
𩿊	𦠂𱉒
𩿧	𨾪𱉜
𪀉	𪃿𬸂
𪀗	𨾼𱉭
𪁐	𪆜𬸎
𪁛	𨿒𱉷
𪁪	𨿙𪁒
𪁾	䴈𨾘
𪂛	𪃔𪃖
𪃎	𬷴𪃎
𪃐	𪃦𪃧
𪃶	䳧𪂷
𪄅	𬸌𪄅
𪄆	𪄢𪉔
𪄲	𪆡𱊥
𪄳	鿺𪍇
𪄽	𮬺𱈼
𪅏	𪄗𪆪
𪅴	𱈵𱉀
𪅿	𩀶𩁌
𪆁	𪆗𱉅
𪇄	𪄽𬸬
𪇐	𪄤𪄨
𪇑	𪈧𱉃
𪇖	𪈭𬸡
𪇗	𩁡𱈿
𪇹	𦒦𦒩
𪈐	𪈈𪈎
𪈨	𪇣𪈬
𪉿	𪉦𬸹
𪋐	𪋣𪋯
𪍑	𩚙𱋢
𪎨	䵉𠐙
𪎵	𪎸𪎹
𪎶	𪎴𪎷
𪏼	𪏾𪐁
𪐀	䵖𪏷
𪐅	䊍𥣥
𪑝	𪒃𱋷
𪑧	𪑘𪑞
𪒂	𪑥𪒇
𪓰	𪓵𫜟
𪔪	𪔤𪔧
𪕍	𪕙𪕥
𪕷	𪕸𪖃
𪖼	𪖧𪖽
𪗍	𠆜𠬎
𪗽	𪘢𬺄
𪘀	𪚏𪘀
𪘑	𪙅𱌞
𪙌	𪙇𪙑
𪙨	𪘶𪙩
𪙽	𪙪𪙱
𪚔	𪥛𬺛
𪚭	𪚵𱍅
𪛊	䇵𥭦
𪮑	𢲏𪮒
𪯚	𫸛𫸡
𪴥	𣠦𬃏
𫃧	𦅥𫃨
𫐷	𨘒𨘠
𫗧	餗𢐌
𫡰	𤾋𪜙
𬥲	𫠾𬦀
𭃀	𭃁𭞔
𭌷	𭌀𭌛
𱃡	𬲨𱃢
㐆	𠂣𡰴𭟿
㒓	㣵𠉂𠋽
㓞	𢩬𫼔𭃚
㓣	𠜪𠜼𠝘
㔶	㯯䀍𭅞
㗗	𠕩𠧅𠮠
㗼	㱉𡁖𫩤
㘝	𡆣𡆴𢬻
㛂	𡛖𡛣𡜮
㜗	𡞋𡡖𡣏
㝩	䆲𡪼𢳧
㝬	𫧚𫯤𫴂
㞷	𡉚𡴍𰙝
㟅	𡹕𡺋𡼔
㢈	㢂㢑𢈹
㣎	𢒮𤽖𧵁
㤻	𢘴𢘵𢚿
㥆	𢘶𢠮𢠻
㥟	𢚌𢞶𢠟
㥢	𢢕𪬐𫻆
㦚	𢣑𢤴𨐵
㧁	𢈊𢩓𫼒
㧟	擓㨤𢶘
㨃	𫨿𫩂𫲯
㨾	𢳌𢵇𢵎
㩶	𢲺𢹜𢺣
㪆	𢺾𢻽𢼕
㬮	𣋸𣌖𰖠
㭙	棏㰅𣚅
㮝	㮝𣒗㮝
㮮	𢲞𣚃𣝠
㮲	𣔖𰗙𰗫
㱇	𢿿𰙖𰙙
㱿	𣪊𣪎𣪗
㲉	𣪹𣫘𥀎
㴵	淧㵥𬉗
㵺	𣴪𤀥𦴝
㵾	濪𩇟𪷍
㶣	烎𤇇𭴃
㶿	𤊹𤍗𤏮
㷳	𤎝𤏚𤑤
㸬	㸽𤘱𤙍
㹊	𤙿𤛹𤜅
㺑	𤡅𤡙𬌷
㼉	𤫯𬋤𬎢
㼊	蛌𤫪𤫭
㽄	𤭣𤭦𤮓
㾷	𡳚𤶈𤷡
㿹	𤿹𥀀𰤨
䀇	𥂤𥂩𬔮
䀘	䀘𥅝𥅳
䀶	㾗䁁𥈘
䀹	䀹𥅴䀹
䁆	𥉱䁆𰥿
䁩	䏸䐳𥆐
䂔	𥏔𥏢𥏣
䃕	磱𥗞𰦷
䄻	𥟯𫀰𰨪
䅜	𥢤𥢰𮃙
䅤	𥟰𥠞𧼰
䈛	𥱙𥲖𮆖
䉞	𢶦𥴶𦽫
䉬	䕠𥳊𫂈
䉲	𥮜𥵨𥸀
䊛	䊝𥻦𰪻
䊷	䌶𪪋𫧠
䋀	𡱏𥾩𥿅
䋛	𥹫𥽲𪓋
䌥	𦅂𦈠𮈮
䌴	䌱𦇽䌴
䍦	䍠𣯤𮒭
䍽	𦍠𦏈𦏩
䎃	𦐃𦐎𦐘
䎔	䎍𦑷𦒊
䎩	䅔𤰭𦿨
䐄	𤎡𦜿𰗋
䑬	艞𦩄𦩹
䒀	䑧䑰𰰐
䓄	𦱄𦳍𦴉
䔂	𦬌𦬷𦭄
䕀	𦹔𦽣𬝺
䕅	𦶞𦺋𦾘
䕩	𧀪𧃉𧃬
䕮	𦵳𦶗𧂲
䖑	𧆽𧇅𧇻
䖙	𠥸𧇬𫇉
䗂	𧌧𧌭𧎍
䙻	𧠎𧠥𧠵
䙾	𧠉𧠜𧠡
䚕	𧢮𧢮𰴗
䚘	𧢴𧤀𧤚
䚦	𧣾𧤧𧤫
䚨	𧢿𧣘𧤔
䚮	𧥰𧦛𧦯
䛄	𧧁𧩷𫍠
䛌	䜊𬢛𰵜
䛠	𡟳𧪧𰵫
䛬	䛌𬤁𮗽
䛽	𧪗𧬿𬤌
䜉	𧩚𧬠𬤘
䜌	𤔪𮘎𰆦
䝋	𧱍𧱭𬤼
䝏	㺏𧲕𰶬
䞊	賐𧸥𧸩
䟂	𧽰𧽱𧾈
䟈	𢕂𧽮𧾞
䟡	𧿟𧿠𨀇
䟺	䟛𧿲𬦥
䠪	躖𨇔𨇰
䡟	䡶𨌦𬨌
䣘	𨝦𨞱𨟐
䣢	䎰𨝨𬪕
䥯	䎱𨰟𫔆
䥸	𨧮𨨮𬬠
䦱	𨵧𨷕𰿫
䨲	㝹𩆊𩆟
䩋	𩉌𩉑𩉚
䩞	䪓𩌓𩌤
䩺	𦃽𨎃𩉭
䪁	𩋼𩌣𩍩
䪤	𩇼𩈀𩐏
䪦	叿㖓𠲓
䪴	𩑜𩨥𫖫
䫌	𩔅𩔙𱂮
䫰	𩕔𩕶𩕼
䬅	𩗅𩘡𱃚
䬐	𡣉𩗯𱃜
䬝	䬖𩙁𩙯
䬞	𩗡𩘿𩙧
䬣	𩚋𩜐𱃱
䭈	𩛧𩜾𱄃
䭎	䭟𥻈𩝇
䭕	𩞏𩟗𬲕
䭮	𩠷𩭻𩯢
䮢	䮜𩣙𩤪
䯚	𩨴𩩓𩩼
䰇	𨲉𨲘𫙀
䰱	䚖𧢥𩵀
䰽	𩶚𩷚𱇑
䱗	𩼇𩽐𮬞
䲛	𩶡𩶶𱈛
䳅	𩿦𱈟𱉙
䳢	𨿣𪅾𫛰
䳮	𪃻𪅚𱊓
䴬	䄩𪍋𪎈
䴰	𡏜𢧇𪌙
䵖	䵛𬹔䵖
䶀	鞈鞳𪔮
万	萬𠂍𬺳
下	丅𠄟𢩹
不	不𠀚𠙐
丑	丒醜𠃠
且	𠀃𠀇𣅂
並	并並𡘋
丩	𠂈𠃏𠖬
个	個箇𬽨
丫	枒桠𬼸
串	串𠀆𰀁
丳	串串𠁷
义	羛義𬬊
之	㞢𠔇𡳿
九	玖𠔀𢌬
书	書𦘠𰭽
乳	𡲐𦜘𧲠
争	爭𠄙𠫩
互	弖㸦𢆰
亚	亞䢝𠄮
些	㱔𡭟𡭶
亞	亚亜𠀓
亢	𠕵𪜠𭂯
亨	𠅖𬽉𬽊
亭	𠅘𠅝𱅴
亿	億𠌼𠐥
仅	僅廑㝻
仇	㐜𫻲𬽦
今	仐𫝆𫢉
仍	扔𠮨𰀾
仓	仺倉𡶍
价	價㑘𠇴
伐	傠𨀳𰆭
伛	傴𢉴𤹪
伟	偉徫𠋋
伫	佇竚𨀉
伶	刢𫢕𫢣
佩	珮𠈡𧙱
侁	𢓠𢓫𫠤
侃	偘𠈉𬇡
侈	伳𠈎𣆚
供	𠇒𥫋𩛘
侥	僥儌徼
侬	儂𫣳𮜻
侹	𨉈𪨋𫧺
便	便𠊳𫢛
係	系𫯼𭛭
促	趣䟟𧻻
俎	爼𤕲𫦆
俗	𠉇𠉚𢓾
俣	俁㒁𠋼
俦	儔𠍻𡕑
俨	儼𠑊𫤌
倉	仓𫝉𰁿
個	个𠇂𮈗
倝	𠐱𣁖𨊤
借	徣藉𠎥
倪	𢞌𫢤𫢳
偆	賰䞐𠎲
健	徤𨺇𭸠
偬	傯𠏨𬾠
偷	偸媮愉
傧	儐𭀀𰌾
储	儲褚𬿜
傰	𠊵𦰿𦷛
僊	𠌐𠌔𠍍
像	像𰁼𰂸
僐	𠏜𠑫𭀒
僥	侥徺憢
僦	𠎟𫎢𰊱
僧	僧僧𰂬
僶	𠊟𥜐𬿄
僾	懓𢙸𫣊
儉	俭倹𰖲
儡	㒦𠐞𩴼
儢	𠐳𡣭𰂦
八	丷捌⼋
公	㒶𡚑𨴛
兽	獣獸𠾧
冂	冋⺆⼌
冉	冄𭁠𮉼
冷	冷𠘤𫭶
冽	𠗗𠗢𣶄
凄	恓悽淒
准	準綧𰜚
凝	冰𠘥𡷪
凡	凢凣𭂫
凹	䆟䫜𢈈
出	岀齣㞮
击	擊𠦟𢱣
刃	仭刄刃
划	劃撶𠜻
刟	𠚭𠚻𠛪
刷	㕞𠛚𢼞
剁	刴挆䤪
剈	𠛭𠜟𠜠
剕	㔈䠊𨅥
剚	倳𡸪𨧫
剞	𠚽𠜾𣂦
剸	𩠹𫦂𰄞
剾	𠛅𣂻𨫕
劓	㓷𨞳𰄩
劖	𠠤𠠥𰅈
劗	𠝩𠟒𭄛
力	力𠠲⼒
功	糼糿㓛
勃	佛㔜𠃱
勋	勲勳𠢼
動	働动𰕕
勗	𣌰𪾫𬀼
勚	勩𠡫𦘓
勩	勚𠡾𠢉
勺	杓勺勺
匋	𫧀𭅊𰅤
北	圵北北
匚	𠤬𠥓⼕
匮	匱𨙑𰅩
匿	匿𭼟𮥛
區	区𠥅𰢋
卌	𠦌𠦜𬻂
協	协𫝓𬳫
卢	盧𥃈𭾐
卬	夘𠨐𨙪
却	卻㕁𨚫
卼	𠒄𠨜𡰈
厉	厲𠪿𭙿
厕	厠廁𨕟
厘	釐𫒄𭀖
厝	庴瘄𠪞
厮	廝斯㒋
厲	厉𢋙𬒪
县	縣𡈴𬪗
叁	弎𠬄𠬅
叆	靉𨙤𮦸
口	𠙵𠮚⼝
古	𠖠𡇣𰈫
叱	𠮟𠻟叱
吊	弔𢎣𢎨
同	仝詷𧇌
名	詺䫤𭩹
吏	叓吏𠭆
吠	犻𠲎𤝜
吣	吢唚𠯟
吨	噸瓲镦
吮	𠴍𢙟𦧊
吽	呍𠴣𰠧
告	勂吿𢍎
员	員贠𪔅
呙	咼𠿎𡁑
呱	𠲐𠶩𠽿
咆	𠲅𠿙𡂘
咒	呪詋䛆
咙	嚨𠺠𡃡
咫	𣥉𦐖𰭠
咬	齩䶧𠸀
哀	𢜺𭈆𮕷
哜	嚌𠴧𠻎
哮	嘋𡦝𰍝
哳	𠹗𠻯𠽻
唁	囐𣨌𰴬
唧	喞𠷌𪡰
唸	𠿍𣣈𣣣
唾	涶𠾊𰝇
啀	嘊㹞𠺓
啈	𠵃𠶿𠷾
啓	启𭇪啓
啥	倽𠍽𠺽
啧	嘖謮㖽
啻	翅𠺏𥩶
啾	𠷘𠿈𪡧
喂	餧餵𠼊
喌	㖄𭇫𭊲
喕	𠲶𠷰𫪓
喘	歂𠽴𡄠
喣	𤆨𤉵𪹕
喾	俈嚳𡇪
嗌	𠍳𡁐𣣼
嗔	瞋謓㥲
嗝	𪢙𫬋𬴳
嗯	唔㕶𠮾
嗷	嗸熬謷
嗽	欶瘶𠻳
嘄	𡂢𫪧𭬖
嘆	叹嘆嘆
嘒	嚖暳𠽡
嘘	噓𡃧𭊌
嘤	嚶譻𭍕
嘬	𠻕𠽶𣤌
嘯	啸嘨𫪯
噍	㗹𡁻𰈭
噤	齽䫴𦧈
噭	躈𠮼𠼍
嚇	吓䓇𭮒
嚗	𠮭𡄗𥗋
嚼	𠻘𡆋𪚅
囃	囄𠱞𫝜
囒	哰𪢠𫩪
团	團揣糰
囱	囪熜𡆧
固	怘𪞎𫧡
圃	圑𡇊𬝟
圈	圏𡈕𣙢
圉	𭍤𰉑𰉓
團	团団𫸜
圞	圝𡈻𪢮
圮	嶏䤏𡺮
址	墌趾阯
坂	岅阪𪠦
坈	𡊫𡊸𫳈
坜	壢𠪖𡐰
垄	垅壟篭
垙	𤱦𤱳𨹂
垛	垜𣑧𨹄
垢	坸㻈𡊦
垦	墾𡍭𭾒
垲	塏𧯧𰊰
埒	埓浖㽟
埭	𡍖𡐡𥓏
埻	𡓑𡓣𪤯
堀	𡌷𡑥𡒈
堅	坚𡉢𡊙
堠	𡎇𪹍𭏒
堯	尧尭𫝔
堶	𡊵𤬾𤭨
塈	墍𡍳𡒖
塌	𡓲𨻇𭏕
塔	墖𩫊𱅸
墅	𤝩𤞎𤡒
墓	𡩳𫮲𭍺
墩	墪𡔋𪤯
墻	墙𫮰𫮶
墼	𡐊𡑼𡒼
壏	𡐖𡒓𰊑
壒	𡎌𡏖𭏦
壓	压圧𰉧
壔	𡑏𡑹𭎜
壘	垒壘𭻹
壜	墰墵𡐧
壢	坜𪠚𬓷
壤	壌𠧑𣩽
壯	壮𪺟𬌁
外	夘㚈𡖄
大	亣𠘲⼤
夭	殀𡕟𡰭
夹	夾袷裌
奇	畸竒𥩬
奚	𤓻𤠓𭑑
奢	奓㚛奢
奩	奁𫧗𬼵
奪	夺𡙜𰶿
奫	𡙨𣽂𫯶
奯	𡚓𫯥𫯻
妃	𡚱𡝑𡝞
妊	姙𡜟𨉃
妩	娬嫵𡣆
姬	姫㚦姬
姺	嫀㜪䢾
娋	𡜽𡡏𫱶
娕	𡠑𡣒𨃢
娟	姢𡛱𫱄
娩	㛯㝃𫰲
娴	嫺嫻𡢃
婦	妇𫳮婦
媊	𡠔𡠡𡡸
媐	𡟮𡢰𫱃
媠	嫷𡡙𫲙
媭	嬃𡡓𩒭
媲	嫓𡠌𰌒
嫈	𡠺𭩖𰌀
嫠	厘𡟋𡠉
嫡	𡡿𪯙𮉀
嫢	𡠝𡣅𫰹
嫥	𡞍𡞤𰋹
嬷	嫲嬤𡣥
嬾	嬾嬾𰌙
孌	娈𡢮𪦥
孑	𠆨𠆬𡤼
字	𡥜𥤪𫳄
孙	孫𡤾𭓂
季	𡦠𩐄𩐖
孴	𡥦𡥨𡦏
學	学𢻯𫝯
宏	厷吰宖
宕	雼𥥔𮛬
审	審谉𡩨
宥	侑𠖅𡧣
宪	憲𡩜𢝮
宬	窚𡧿𡩍
寓	庽𡪾𫴆
寘	𠖕𫴁寘
寣	𥧍𥨉𰍖
尉	叞㷉𠝋
尨	狵𡧞𢒂
尯	𡯵𣧼𥎾
尽	儘盡𥁞
屃	屓屭𡳻
屌	𠄏𡰯𨳒
屔	𡎿𡲌𢇀
屟	𡲕𡲷𡲿
山	𡶸𢇢⼭
屺	㞯𡴾𡵒
屼	𡵉𡵐𫵳
岚	嵐㞩𫵽
岨	𥕅𥥐𭖌
岫	峀䜬𥥉
岯	𡶌𨸹𨸿
峉	㟯𡾆𡿃
峡	埉峽陜
峣	嶢𡽄𰎜
峥	崝崢𡸵
崙	崘崙𪨧
崞	䧐𡾘𱀟
崦	嶖𡹛𡹮
崷	𡷾𡺚𮞹
嵐	岚嵐𡺤
嵞	𡷣𡸂𡽚
嵾	㟥㠁𡼶
嶅	㟼㠂𥂢
嶊	㠑𡽁𡽕
嶘	㟞𡸚𡺄
嶞	㟎𡺆𡽃
嶢	峣嶤𡸳
嶷	㠜𭗊𭗰
嶾	𡽸𡾯𭖷
巑	㠝𡿍𰏁
川	巛𤰏𫶧
巭	巬㠫㠬
己	𠮯𥐦⼰
巾	䘜𫋵⼱
帚	榋箒菷
帛	𪽾𬐃𬥝
帝	𠫜𠫦𢂇
常	㦂𢡭𬧿
帺	褀𢃛𧚈
幂	冖冪幎
幅	畐䋹𠥏
幔	㡢𧜞㡢
幨	裧𢃔𢅐
幰	𢁗𨏥𫷉
幺	𠂓⺓⼳
广	廣𢉭⼴
庆	慶𢙎𢝑
庛	𢈃𢉪𢊳
庤	䝰𤲔𤲵
庮	𠩚𢈞𢉷
庳	𡲎𢈷庳
康	㱂𠭳𢊪
廊	廊𪪗廊
廗	鿮𭙺𰏼
廙	廙𢇙𫷩
廟	𢉋𰍘𰤂
廬	庐廬𪪏
弇	𢍔𥦍𥦦
弈	𠅑𢌸𢌾
弛	㢮𢐋𢐏
彆	㢼𢏨𥏟
彐	⺔⺕⼹
彑	彐⺔⼹
形	𠀦𢒈形
彧	㦽𢒖𢒰
彪	𠿖𢒜𢒯
彰	章遧𰗍
很	佷狠𢓼
徐	俆𨑦𰜭
循	揗𢕀𬾱
徭	傜繇徭
徲	𢔦𢔭𰐳
忒	𢖼𢘋𫻪
忙	朚𢗅𭶿
忼	𢗟𪫤𰏔
忾	愾鎎𥎃
怐	瞉𢗕𢛑
怼	懟㦠𢥓
恂	𠣬𢞧𰃢
恟	忷𢗮𰑉
息	𡆶𢙆𧪩
恸	慟憅𢣛
恹	懕懨㦔
恻	惻𢝔𢢥
悒	邑𤶛𰇫
悬	懸𠐴𢝝
悶	闷𢛀𨴽
情	啨𢚏𰑊
惉	𢛈𢜃𢜋
惎	㥍𢗏𢤵
惟	隹𢛧𢜐
感	𢘱𢦡𫹯
愧	媿聭謉
愨	𧰕𰒍𰒘
慌	㤺慌慌
慕	𢟽𥲸𦿹
慠	㥿慠𢢡
慭	憖𫺗𭜺
慮	虑𪫰𫻖
慲	𢟮𫧥𰒆
慺	㥪𢡌慺
憋	𢠳𢢌𥡁
憎	憎憎憎
憪	𢡿𢢀𰑥
懅	𢟶𫴔𭞥
懕	𢣽𭟢𰑕
懘	𢤅𢤔𰒒
懞	蒙𭞾懞
懟	怼譵𪫼
懤	㤽㦞𣝷
懷	怀𫻡𰍓
戆	戅戇𢥨
或	㦯𢈿𢦙
戛	戞拮戛
戬	戩𢦞𭟺
房	𠩝𢨲𣃞
扈	𡴰𫝳𫨓
才	哉纔裁
托	讬𢩷𫾧
扣	釦𪫎𰒸
扩	挄擴㨯
扪	捫㨺𢪛
拎	㩕𢺰𪵍
拚	拌𢬵𢱰
招	𫾸𭛤𭠡
拨	撥𢯸𭯆
拱	廾𪭍𰓘
挂	掛罣𫭳
挃	𢯶𢰗𥡫
挖	穵𢭔𣑒
挛	攣䏈𠣈
挦	撏𠟢𢸱
挪	挼𢰓𨁌
挫	𢚂𢬕𢲖
挴	𢮇𢯈𭡡
挹	𨙰𫼷𬩴
捧	捀𢪋𭢐
捱	𢭘𨂉𫨾
掀	搟𪯱𭡓
掏	搯𣖑𰓴
接	擑𣓉𦁉
掰	擘㧳𢪘
揄	揄𢶖𤻍
揉	楺𦽩𬱅
揎	㩊𢱱𦝻
揔	惣𢭝𢷝
揖	撎𢯇𢱼
揶	捓擨歋
揸	摣𠭯𢸉
揿	搇撳𢵡
搒	挷𢮔𫢿
搣	𡟬𢳒𢷄
搥	𢮒𢱸𪯌
搩	𢫰𢳗𢷡
摄	挕撮攝
摊	擹攤𢺋
摎	樛㧃𭢢
摐	㧿𢰑𪭢
摕	𢰂𢲄𰔇
摷	㩰𦾱摷
撇	撆𣘮𣟷
撏	挦𢸧𧅩
撚	撚𢲳𭣅
撞	𢭩𨀵𫝿
撩	𢸘𢿞𰔬
撫	抚𢺌𫞶
撺	攛𢺱𰔞
擂	攂櫑𢺢
擅	𢫔𢷆𭣁
擇	択择𬙨
擊	击撃𰕕
擎	擏㢣𮬘
擘	孹擗𢹐
擦	攃𢬡𰓣
攋	揦𡓒𪮶
攏	拢𢲣𫿤
攮	搑擃𰓌
攷	𫨲𭣡𰕃
敏	勄敏敏
敔	𢻊𢾵𨨶
敗	败𭾢𰇩
敛	斂歛㪘
斆	敩斅𭯄
斓	斕𢿻𣁣
斞	斔𣂂𫿷
斡	龫𠦷𨋼
斧	𢯋𤕑𨨞
斮	𢧉𢨈𰐒
斯	𢍉𣂕𣂖
斲	䦠𨮕𨯴
方	𤙗𰲱⽅
旖	旑㫊𭥃
旚	𣄔𣄦𣄪
旟	𣄊𣄣𭤰
旬	𠣙𠣚𠣡
旭	旴晇𣅤
昜	𠃓𣆃𣆄
晁	鼂𣅬𣆷
時	时㫭𰥙
晏	曣𣇆𨴣
暂	暫蹔𣊙
暄	煊𣇥𮌻
暋	忞𢽹𭽞
暍	㬞㷎𤸎
暑	暑暑𰕾
暢	畅𣈱𬻸
暮	暯𡖶𬑤
暾	旽𣌘𰖬
曀	㙪𣌐𪾼
曌	瞾𧸵𭩇
更	㪅更𠭍
朄	𢃿𣍃𨌿
朋	倗傰𰢱
朱	硃絑𫁍
朴	樸檏𣞞
权	権權𭬳
杇	𢫸𣏓𣑀
杖	杖𨥅𭷹
杠	槓𪰄𬀒
杮	𣏕𣏟𣙿
枉	抂𢼟𣒈
枑	𣏛𣏳𣐙
果	菓𣐭𤬁
枪	槍鎗𥎄
枱	耛𨐠𬃋
枿	𣔏𣕀𭣍
柄	枋棅𥟱
柎	枎𣏘𣘧
柏	栢𬪎𭩛
柘	樜䂞𥦼
柙	㘡𣘭𫭂
柚	櫾𣟾𣠡
柝	𣔳𣝔𣟄
